caseId,receivedDate,caseStatus
YSC1790000004,09/29/2016,Case Was Received
YSC1790000005,09/29/2016,Case Was Received
YSC1790000006,09/27/2016,Case Was Received
YSC1790000007,09/29/2016,Case Was Received
YSC1790000008,09/29/2016,Case Was Received
YSC1790000009,09/29/2016,Case Was Received
YSC1790000010,09/29/2016,Case Was Received
YSC1790000011,09/29/2016,Case Was Received
YSC1790000012,10/27/2016,Notice Was Returned To USCIS Because The Post Office Could Not Deliver It
YSC1790000013,09/29/2016,Case Was Received
YSC1790000014,09/29/2016,Case Was Received
YSC1790000015,09/29/2016,Case Was Received
YSC1790000016,09/29/2016,Case Was Received
YSC1790000017,09/29/2016,Case Was Received
YSC1790000018,09/29/2016,Case Was Received
YSC1790000019,09/29/2016,Case Was Received
YSC1790000020,09/29/2016,Case Was Received
YSC1790000021,09/29/2016,Case Was Received
YSC1790000022,09/29/2016,Case Was Received
YSC1790000023,09/29/2016,Case Was Received
YSC1790000024,09/29/2016,Case Was Received
YSC1790000025,09/29/2016,Case Was Received
YSC1790000026,09/29/2016,Case Was Received
YSC1790000027,09/29/2016,Case Was Received
YSC1790000028,09/29/2016,Case Was Received
YSC1790000029,09/29/2016,Case Was Received
YSC1790000030,09/29/2016,Case Was Received
YSC1790000031,11/22/2016,Card Was Mailed To Me
YSC1790000032,11/22/2016,Card Was Mailed To Me
YSC1790000033,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000034,11/17/2016,Card Was Delivered To Me By The Post Office
YSC1790000035,11/21/2016,Card Was Mailed To Me
YSC1790000036,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000037,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000038,11/17/2016,Card Was Delivered To Me By The Post Office
YSC1790000039,11/21/2016,Card Was Mailed To Me
YSC1790000040,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000041,11/21/2016,Card Was Mailed To Me
YSC1790000042,11/22/2016,Card Was Mailed To Me
YSC1790000043,11/28/2016,Card Was Delivered To Me By The Post Office
YSC1790000044,11/14/2016,Card Was Mailed To Me
YSC1790000045,09/28/2016,Case Was Received
YSC1790000046,09/28/2016,Case Was Received
YSC1790000047,11/21/2016,Card Was Mailed To Me
YSC1790000048,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000049,11/22/2016,Card Was Mailed To Me
YSC1790000050,11/21/2016,Card Was Mailed To Me
YSC1790000051,11/21/2016,Card Was Mailed To Me
YSC1790000052,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000053,11/25/2016,Card Was Delivered To Me By The Post Office
YSC1790000054,09/29/2016,Case Was Received
YSC1790000055,09/29/2016,Case Was Received
YSC1790000056,09/29/2016,Case Was Received
YSC1790000057,09/29/2016,Case Was Received
YSC1790000058,09/29/2016,Case Was Received
YSC1790000059,09/29/2016,Case Was Received
YSC1790000060,11/21/2016,Card Was Mailed To Me
YSC1790000061,09/29/2016,Case Was Received
YSC1790000062,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000063,09/29/2016,Case Was Received
YSC1790000064,09/29/2016,Case Was Received
YSC1790000065,09/29/2016,Case Was Received
YSC1790000066,09/29/2016,Case Was Received
YSC1790000067,09/29/2016,Case Was Received
YSC1790000068,10/12/2016,Name Was Updated
YSC1790000069,09/29/2016,Case Was Received
YSC1790000070,11/21/2016,Card Was Mailed To Me
YSC1790000071,12/02/2016,New Card Is Being Produced
YSC1790000072,09/29/2016,Case Was Received
YSC1790000073,11/21/2016,Card Was Mailed To Me
YSC1790000074,11/23/2016,Card Was Mailed To Me
YSC1790000075,09/29/2016,Case Was Received
YSC1790000076,09/29/2016,Case Was Received
YSC1790000077,09/29/2016,Case Was Received
YSC1790000078,09/29/2016,Case Was Received
YSC1790000079,09/29/2016,Case Was Received
YSC1790000080,09/29/2016,Case Was Received
YSC1790000081,09/29/2016,Case Was Received
YSC1790000082,11/22/2016,Card Was Mailed To Me
YSC1790000083,11/23/2016,Card Was Mailed To Me
YSC1790000084,09/29/2016,Case Was Received
YSC1790000085,11/23/2016,Card Was Mailed To Me
YSC1790000086,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000087,11/21/2016,Card Was Mailed To Me
YSC1790000088,12/01/2016,New Card Is Being Produced
YSC1790000089,11/22/2016,Card Was Mailed To Me
YSC1790000090,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000091,11/23/2016,Card Was Mailed To Me
YSC1790000092,11/22/2016,Card Was Mailed To Me
YSC1790000093,11/29/2016,Card Was Delivered To Me By The Post Office
YSC1790000094,11/21/2016,Card Was Mailed To Me
YSC1790000095,12/01/2016,New Card Is Being Produced
YSC1790000096,11/21/2016,Card Was Mailed To Me
YSC1790000097,11/21/2016,Card Was Mailed To Me
YSC1790000098,12/01/2016,New Card Is Being Produced
YSC1790000099,11/23/2016,Card Was Mailed To Me
YSC1790000100,11/22/2016,Card Was Mailed To Me
YSC1790000101,11/29/2016,Card Was Delivered To Me By The Post Office
YSC1790000102,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000103,11/23/2016,Card Was Mailed To Me
YSC1790000104,11/21/2016,Card Was Mailed To Me
YSC1790000105,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000106,09/29/2016,Case Was Received
YSC1790000107,11/23/2016,Request for Initial Evidence Was Mailed
YSC1790000108,09/29/2016,Case Was Received
YSC1790000109,09/29/2016,Case Was Received
YSC1790000110,09/29/2016,Case Was Received
YSC1790000111,09/29/2016,Case Was Received
YSC1790000112,09/29/2016,Case Was Received
YSC1790000113,09/29/2016,Case Was Received
YSC1790000114,09/29/2016,Case Was Received
YSC1790000115,09/29/2016,Case Was Received
YSC1790000116,09/29/2016,Case Was Received
YSC1790000117,09/29/2016,Case Was Received
YSC1790000118,09/29/2016,Case Was Received
YSC1790000119,09/29/2016,Case Was Received
YSC1790000120,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000121,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000122,11/14/2016,Card Was Mailed To Me
YSC1790000123,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000124,11/22/2016,Card Was Mailed To Me
YSC1790000125,11/22/2016,Card Was Mailed To Me
YSC1790000126,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000127,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000128,09/29/2016,Case Was Received
YSC1790000129,09/29/2016,Case Was Received
YSC1790000130,09/29/2016,Case Was Received
YSC1790000131,09/29/2016,Case Was Received
YSC1790000132,09/29/2016,Case Was Received
YSC1790000133,09/29/2016,Case Was Received
YSC1790000134,09/29/2016,Case Was Received
YSC1790000135,11/30/2016,New Card Is Being Produced
YSC1790000136,11/22/2016,Card Was Mailed To Me
YSC1790000137,12/01/2016,New Card Is Being Produced
YSC1790000138,11/22/2016,Card Was Mailed To Me
YSC1790000139,12/02/2016,New Card Is Being Produced
YSC1790000140,09/29/2016,Case Was Received
YSC1790000141,11/21/2016,Card Was Mailed To Me
YSC1790000142,09/29/2016,Case Was Received
